worker_id,file,lens
1,index.md,初心者が最短で理解できる導入改善
2,index.md,主張の検証可能性（達成条件/反証条件）の明確化
3,index.md,曖昧語の削減と定義の明確化
4,index.md,冗長表現の削減と可読性向上
5,index.md,次に読むべきページへの導線強化
6,index.md,実務的な次アクションの具体化
7,index.md,外部依存事項の切り分けの明確化
8,index.md,誤解されやすい点の先回り説明
9,index.md,段落構造の整理（1段落1メッセージ）
10,index.md,トーン統一（過度な断定を避けた敬体）
11,verification.md,初心者が最短で理解できる導入改善
12,verification.md,主張の検証可能性（達成条件/反証条件）の明確化
13,verification.md,曖昧語の削減と定義の明確化
14,verification.md,冗長表現の削減と可読性向上
15,verification.md,次に読むべきページへの導線強化
16,verification.md,実務的な次アクションの具体化
17,verification.md,外部依存事項の切り分けの明確化
18,verification.md,誤解されやすい点の先回り説明
19,verification.md,段落構造の整理（1段落1メッセージ）
20,verification.md,トーン統一（過度な断定を避けた敬体）
21,datasets.md,初心者が最短で理解できる導入改善
22,datasets.md,主張の検証可能性（達成条件/反証条件）の明確化
23,datasets.md,曖昧語の削減と定義の明確化
24,datasets.md,冗長表現の削減と可読性向上
25,datasets.md,次に読むべきページへの導線強化
26,datasets.md,実務的な次アクションの具体化
27,datasets.md,外部依存事項の切り分けの明確化
28,datasets.md,誤解されやすい点の先回り説明
29,datasets.md,段落構造の整理（1段落1メッセージ）
30,datasets.md,トーン統一（過度な断定を避けた敬体）
31,hands_on.md,初心者が最短で理解できる導入改善
32,hands_on.md,主張の検証可能性（達成条件/反証条件）の明確化
33,hands_on.md,曖昧語の削減と定義の明確化
34,hands_on.md,冗長表現の削減と可読性向上
35,hands_on.md,次に読むべきページへの導線強化
36,hands_on.md,実務的な次アクションの具体化
37,hands_on.md,外部依存事項の切り分けの明確化
38,hands_on.md,誤解されやすい点の先回り説明
39,hands_on.md,段落構造の整理（1段落1メッセージ）
40,hands_on.md,トーン統一（過度な断定を避けた敬体）
41,faq.md,初心者が最短で理解できる導入改善
42,faq.md,主張の検証可能性（達成条件/反証条件）の明確化
43,faq.md,曖昧語の削減と定義の明確化
44,faq.md,冗長表現の削減と可読性向上
45,faq.md,次に読むべきページへの導線強化
46,faq.md,実務的な次アクションの具体化
47,faq.md,外部依存事項の切り分けの明確化
48,faq.md,誤解されやすい点の先回り説明
49,faq.md,段落構造の整理（1段落1メッセージ）
50,faq.md,トーン統一（過度な断定を避けた敬体）
51,issue.md,初心者が最短で理解できる導入改善
52,issue.md,主張の検証可能性（達成条件/反証条件）の明確化
53,issue.md,曖昧語の削減と定義の明確化
54,issue.md,冗長表現の削減と可読性向上
55,issue.md,次に読むべきページへの導線強化
56,issue.md,実務的な次アクションの具体化
57,issue.md,外部依存事項の切り分けの明確化
58,issue.md,誤解されやすい点の先回り説明
59,issue.md,段落構造の整理（1段落1メッセージ）
60,issue.md,トーン統一（過度な断定を避けた敬体）
61,wbe_101.md,初心者が最短で理解できる導入改善
62,wbe_101.md,主張の検証可能性（達成条件/反証条件）の明確化
63,wbe_101.md,曖昧語の削減と定義の明確化
64,wbe_101.md,冗長表現の削減と可読性向上
65,wbe_101.md,次に読むべきページへの導線強化
66,wbe_101.md,実務的な次アクションの具体化
67,wbe_101.md,外部依存事項の切り分けの明確化
68,wbe_101.md,誤解されやすい点の先回り説明
69,wbe_101.md,段落構造の整理（1段落1メッセージ）
70,wbe_101.md,トーン統一（過度な断定を避けた敬体）
71,eeg_101.md,初心者が最短で理解できる導入改善
72,eeg_101.md,主張の検証可能性（達成条件/反証条件）の明確化
73,eeg_101.md,曖昧語の削減と定義の明確化
74,eeg_101.md,冗長表現の削減と可読性向上
75,eeg_101.md,次に読むべきページへの導線強化
76,eeg_101.md,実務的な次アクションの具体化
77,eeg_101.md,外部依存事項の切り分けの明確化
78,eeg_101.md,誤解されやすい点の先回り説明
79,eeg_101.md,段落構造の整理（1段落1メッセージ）
80,eeg_101.md,トーン統一（過度な断定を避けた敬体）
81,glossary.md,初心者が最短で理解できる導入改善
82,glossary.md,主張の検証可能性（達成条件/反証条件）の明確化
83,glossary.md,曖昧語の削減と定義の明確化
84,glossary.md,冗長表現の削減と可読性向上
85,glossary.md,次に読むべきページへの導線強化
86,glossary.md,実務的な次アクションの具体化
87,glossary.md,外部依存事項の切り分けの明確化
88,glossary.md,誤解されやすい点の先回り説明
89,glossary.md,段落構造の整理（1段落1メッセージ）
90,glossary.md,トーン統一（過度な断定を避けた敬体）
91,casework.md,初心者が最短で理解できる導入改善
92,casework.md,主張の検証可能性（達成条件/反証条件）の明確化
93,casework.md,曖昧語の削減と定義の明確化
94,casework.md,冗長表現の削減と可読性向上
95,casework.md,次に読むべきページへの導線強化
96,casework.md,実務的な次アクションの具体化
97,casework.md,外部依存事項の切り分けの明確化
98,casework.md,誤解されやすい点の先回り説明
99,casework.md,段落構造の整理（1段落1メッセージ）
100,casework.md,トーン統一（過度な断定を避けた敬体）
101,idea.md,初心者が最短で理解できる導入改善
102,idea.md,主張の検証可能性（達成条件/反証条件）の明確化
103,idea.md,曖昧語の削減と定義の明確化
104,idea.md,冗長表現の削減と可読性向上
105,idea.md,次に読むべきページへの導線強化
106,idea.md,実務的な次アクションの具体化
107,idea.md,外部依存事項の切り分けの明確化
108,idea.md,誤解されやすい点の先回り説明
109,idea.md,段落構造の整理（1段落1メッセージ）
110,idea.md,トーン統一（過度な断定を避けた敬体）
111,proposals.md,初心者が最短で理解できる導入改善
112,proposals.md,主張の検証可能性（達成条件/反証条件）の明確化
113,proposals.md,曖昧語の削減と定義の明確化
114,proposals.md,冗長表現の削減と可読性向上
115,proposals.md,次に読むべきページへの導線強化
116,proposals.md,実務的な次アクションの具体化
117,proposals.md,外部依存事項の切り分けの明確化
118,proposals.md,誤解されやすい点の先回り説明
119,proposals.md,段落構造の整理（1段落1メッセージ）
120,proposals.md,トーン統一（過度な断定を避けた敬体）
121,technical_proposal_46.md,初心者が最短で理解できる導入改善
122,technical_proposal_46.md,主張の検証可能性（達成条件/反証条件）の明確化
123,technical_proposal_46.md,曖昧語の削減と定義の明確化
124,technical_proposal_46.md,冗長表現の削減と可読性向上
125,technical_proposal_46.md,次に読むべきページへの導線強化
126,technical_proposal_46.md,実務的な次アクションの具体化
127,technical_proposal_46.md,外部依存事項の切り分けの明確化
128,technical_proposal_46.md,誤解されやすい点の先回り説明
129,technical_proposal_46.md,段落構造の整理（1段落1メッセージ）
130,technical_proposal_46.md,トーン統一（過度な断定を避けた敬体）
131,technical_proposal_48.md,初心者が最短で理解できる導入改善
132,technical_proposal_48.md,主張の検証可能性（達成条件/反証条件）の明確化
133,technical_proposal_48.md,曖昧語の削減と定義の明確化
134,technical_proposal_48.md,冗長表現の削減と可読性向上
135,technical_proposal_48.md,次に読むべきページへの導線強化
136,technical_proposal_48.md,実務的な次アクションの具体化
137,technical_proposal_48.md,外部依存事項の切り分けの明確化
138,technical_proposal_48.md,誤解されやすい点の先回り説明
139,technical_proposal_48.md,段落構造の整理（1段落1メッセージ）
140,technical_proposal_48.md,トーン統一（過度な断定を避けた敬体）
141,technical_proposal_61.md,初心者が最短で理解できる導入改善
142,technical_proposal_61.md,主張の検証可能性（達成条件/反証条件）の明確化
143,technical_proposal_61.md,曖昧語の削減と定義の明確化
144,technical_proposal_61.md,冗長表現の削減と可読性向上
145,technical_proposal_61.md,次に読むべきページへの導線強化
146,technical_proposal_61.md,実務的な次アクションの具体化
147,technical_proposal_61.md,外部依存事項の切り分けの明確化
148,technical_proposal_61.md,誤解されやすい点の先回り説明
149,technical_proposal_61.md,段落構造の整理（1段落1メッセージ）
150,technical_proposal_61.md,トーン統一（過度な断定を避けた敬体）
