uid,rq_index,rq_text,log_event_type_ja,required_log_fields_ja,pass_condition_ja,fail_condition_ja,repo_action_on_pass_ja,repo_action_on_fail_ja,external_dependency_note_ja,generated_at_utc
U12,1,分岐後主体の識別子を何に基づいて付与するか。,trigger_check,更新日・該当見出し・確認URL・確認時刻UTC・trigger種別,personhoodまたはidentityの定義変更を確認,条項差分なしまたはURL経路差のみ,Round27更新文テンプレを本文へ適用,据え置き文を監査導線直下へ追記,ブラウザ再確認はアクセス経路変動時のみ,2026-03-01T15:19:40Z
U12,2,責任・権利・同意の継承ルールをどの時点で分岐させるか。,trigger_check,更新日・該当見出し・確認URL・確認時刻UTC・trigger種別,継承開始時点または分岐時点の規定変更を確認,意味差分なしの文言調整のみ,Round27更新文テンプレを本文へ適用,据え置き文を監査導線直下へ追記,ブラウザ再確認はアクセス経路変動時のみ,2026-03-01T15:19:40Z
U12,3,心理的連続性基準と法的個体基準の不一致をどう扱うか。,trigger_check,更新日・該当見出し・確認URL・確認時刻UTC・trigger種別,衝突解決ルールの追加削除条件変更を確認,見出し差分なしまたは目次再編のみ,Round27更新文テンプレを本文へ適用,据え置き文を監査導線直下へ追記,ブラウザ再確認はアクセス経路変動時のみ,2026-03-01T15:19:40Z
U12,4,技術評価（性能）と人格評価（帰属）をどう接続するか。,trigger_check,更新日・該当見出し・確認URL・確認時刻UTC・trigger種別,技術評価KPIと帰属判断要件の接続変更を確認,リンク正規化のみまたはUI調整のみ,Round27更新文テンプレを本文へ適用,据え置き文を監査導線直下へ追記,ブラウザ再確認はアクセス経路変動時のみ,2026-03-01T15:19:40Z
U12,5,分岐主体間で記憶編集・再同期が起きた場合、法的主体IDを再編する基準は何か。,trigger_check,更新日・該当見出し・確認URL・確認時刻UTC・trigger種別,主体ID再編基準または監査証跡義務の変更を確認,語順変更のみで意味差分なし,Round27更新文テンプレを本文へ適用,据え置き文を監査導線直下へ追記,ブラウザ再確認はアクセス経路変動時のみ,2026-03-01T15:19:40Z
U12,6,同意撤回が発生したとき、複数分岐主体への権限剥奪を技術的にどう実装・監査するか。,trigger_check,更新日・該当見出し・確認URL・確認時刻UTC・trigger種別,権限剥奪手順または追跡監査義務の変更を確認,条項差分なしまたはナビゲーション変更のみ,Round27更新文テンプレを本文へ適用,据え置き文を監査導線直下へ追記,ブラウザ再確認はアクセス経路変動時のみ,2026-03-01T15:19:40Z
U15,1,神経データの機微性をどの法概念で扱うか（個人情報・生体情報・人格情報）。,trigger_check,更新日・該当見出し・確認URL・確認時刻UTC・trigger種別,個人情報機微情報生体情報の定義変更を確認,改訂日差分なしまたはUI変更のみ,Round27更新文テンプレを本文へ適用,据え置き文を監査導線直下へ追記,ブラウザ確認はCLI差分検出時のみ,2026-03-01T15:19:40Z
U15,2,neurorightsを技術監査項目へどう写像するか。,trigger_check,更新日・該当見出し・確認URL・確認時刻UTC・trigger種別,neurorights写像ルールの変更を確認,文体統一のみまたは改行変更のみ,Round27更新文テンプレを本文へ適用,据え置き文を監査導線直下へ追記,ブラウザ確認はCLI差分検出時のみ,2026-03-01T15:19:40Z
U15,3,法域差（EU/US/JP等）を跨ぐ最小共通運用をどう定義するか。,trigger_check,更新日・該当見出し・確認URL・確認時刻UTC・trigger種別,越境移転または相互運用の必須要件変更を確認,参照URL追加のみまたは章番号変更のみ,Round27更新文テンプレを本文へ適用,据え置き文を監査導線直下へ追記,ブラウザ確認はCLI差分検出時のみ,2026-03-01T15:19:40Z
U15,4,技術進展に応じた停止条件・更新条件をどうガバナンス化するか。,trigger_check,更新日・該当見出し・確認URL・確認時刻UTC・trigger種別,停止条件更新条件再評価周期の規定変更を確認,事例追加のみまたは脚注追加のみ,Round27更新文テンプレを本文へ適用,据え置き文を監査導線直下へ追記,ブラウザ確認はCLI差分検出時のみ,2026-03-01T15:19:40Z
